Region,Place,City,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Notes
Central Kitsap,Behind The Pine Bar & Grill,Bremerton,,,,9pm-1:30am,9pm-1:30am,9pm-1:30am,9pm-1:30am,
Central Kitsap,Beyond Karaoke,Bremerton,,5-11:30pm,,5-11:30pm,5pm-1am,5pm-1am,2-8pm (ALL AGES),
Central Kitsap,McCloud's Grill House,Bremerton,,,8-11pm (ALL AGES TIL 10),,,,,
Central Kitsap,Remedy Speakeasy,Bremerton,,9pm-12am,9pm-12am,,9pm-1am,9pm-1am,9pm-12am,
Central Kitsap,Siren's,Bremerton,,9pm-1am,9pm-1am,9pm-1am,9pm-1:30am,9pm-1:30am,,
Central Kitsap,South Pacific Bar & Grill,Bremerton,,,8pm-Close,8pm-Close,8pm-Close,8pm-Close,,
Central Kitsap,The 884 Pub,Bremerton,,,,,8pm-1am,,,
Central Kitsap,The Garage Bar & Grill,Bremerton,,,,9pm-1am,,,,
Central Kitsap,Tik Tok's Workshop,Bremerton,,,,9pm-1:30am,,,9pm-1:30am,
Central Kitsap,Town Portal,Bremerton,,8pm-12am,8:30pm-12am,,,,,
Central Kitsap,Jimmy D's Bar & Grill,Gorst,,,,,5-8pm,9pm-12:30am,,
Central Kitsap,Our Place Pub,Silverdale,,,8:30-11:30pm,,9pm-12:30am,9pm-12:30am,,
North Kitsap,Fletcher Bay Winery,Bainbridge Island,,,,,6-9pm (ALL AGES),,(Only Last Fridays),Occurs only on last Fridays
North Kitsap,The Plate & Pint,Bainbridge Island,,,,,9:30pm-12am,9:30pm-1am,,
North Kitsap,Kingston Ale House,Kingston,,,,,9:30pm-1am,9:30pm-1am,,
North Kitsap,Bushel & Barrel Ciderhouse,Poulsbo,,,,,,(Only 2nd Saturdays),6-10pm (ALL AGES TIL 7),Only 2nd Saturdays noted; Sunday all ages until 7pm
North Kitsap,The Brass Kraken Pub,Poulsbo,,,8:30pm-2am,,,,,
North Kitsap,The Skal House Pub,Poulsbo,,8pm-12am,,,9pm-2am,9pm-2am,4pm-12am,
South Kitsap,Half Time Sports Saloon,Gig Harbor,,,9pm-12am,,9pm-1am,,,
South Kitsap,Ocean 5,Gig Harbor,,,,,,,4-8pm (ALL AGES),
South Kitsap,The Float,Gig Harbor,,,,,8:30pm-12:30am,8:30pm-12:30am,,
South Kitsap,Eagles Club (Gig Harbor),Gig Harbor,,(Members & Guests Only) 5-9pm (ALL AGES),,,,,,Members & Guests Only
South Kitsap,Damn Fine Pizza,Port Orchard,,,,8-11pm,,,,
South Kitsap,Eagles Club (Port Orchard),Port Orchard,,,,(Members & Guests Only) 5:30-9pm (ALL AGES) (2nd & 4th Thursdays),,,,2nd & 4th Thursdays only; Members & Guests Only
South Kitsap,Empire Pizza,Port Orchard,,,,,8pm-12am,,,
South Kitsap,Golden Grill On The Bay,Port Orchard,,,,9pm-12am,9pm-12am,9pm-12am,,
South Kitsap,New Way Lounge,Port Orchard,,,,7-2am (ALL AGES TIL 11),,9pm-2am,,All ages until 11pm on Thu
South Kitsap,Ruby Slipper Bar & Grill,Port Orchard,7-10pm,,7-10pm,,8-11pm,8-11pm,,
South Kitsap,The End Zone Sports Pub,Port Orchard,,,9pm-12:30am,,,,,
South Kitsap,VFW Post 2669,Port Orchard,,,,,5-8pm (Members & Guests Only),,,Members & Guests Only
Outside of Kitsap,Casey's Bar & Grill,Belfair,,8pm-12am,,,,,,
Outside of Kitsap,The Woodshed,Belfair,,,,,9pm-12am,,9pm-12am,

